YEAR_MONTH_PROJECT_KEY,HIGH_LEVEL_STATUS_KPI_ID,PPN_STAMP,PPN_PROC
202601_2025-00086,17,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00063,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00040,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00039,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00035,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00025,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00013,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-0006,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-0004,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-0001,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00153,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00148,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00143,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00142,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00141,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00140,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00139,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00138,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2025-00122,18,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
